,start_time_seconds,end_time_seconds,source,emission_rate
229,1063840.0,1089038.0,"['Separator.East', 'Separator.West']","[0.6914376000000001, 0.7252812]"
230,1099841.0,1117840.0,"['Wellhead.West', 'Separator.West']","[1.7714340000000002, 1.7491572000000002]"
231,1121443.0,1128641.0,['Separator.West'],[0.8229564000000001]
232,1135846.0,1146644.0,"['Separator.East', 'Wellhead.West', 'Wellhead.East', 'Separator.West']","[0.3534300000000001, 0.6528816000000001, 0.338436, 0.3671388]"
233,1146644.0,1146645.0,"['Wellhead.East', 'Wellhead.West', 'Separator.East']","[0.338436, 0.6528816000000001, 0.3534300000000001]"
234,1161047.0,1164646.0,"['Wellhead.West', 'Separator.West']","[0.6648768000000002, 0.8396640000000001]"
235,1179047.0,1179048.0,['Tank'],[2.127006]
236,1179048.0,1193446.0,"['Separator.West', 'Separator.East', 'Tank']","[1.7444448, 1.1082708000000003, 2.127006]"
237,1193446.0,1193447.0,"['Tank', 'Separator.East']","[2.127006, 1.1082708000000003]"
238,1208285.0,1208286.0,['Separator.East'],[0.6473124]
239,1208286.0,1219085.0,"['Separator.East', 'Separator.West']","[0.6473124, 0.6815844000000001]"
240,1226286.0,1226287.0,['Wellhead.West'],[0.3487176]
241,1226287.0,1233485.0,"['Separator.West', 'Wellhead.West', 'Separator.East']","[0.4172616, 0.3487176, 0.4446792000000001]"
242,1233485.0,1233486.0,['Separator.East'],[0.4446792000000001]
243,1237087.0,1237088.0,"['Wellhead.East', 'Tank']","[0.4571028, 0.2698920000000001]"
244,1237088.0,1262286.0,"['Separator.East', 'Separator.West', 'Tank', 'Wellhead.East']","[0.4519620000000001, 0.4939452, 0.2698920000000001, 0.4571028]"
245,1262286.0,1262287.0,"['Separator.East', 'Tank', 'Wellhead.East']","[0.4519620000000001, 0.2698920000000001, 0.4571028]"
246,1273089.0,1283887.0,"['Separator.East', 'Wellhead.East']","[1.8459756, 1.846404]"
247,1294690.0,1316288.0,"['Tank', 'Separator.East', 'Wellhead.West']","[0.1747872, 0.4708116, 0.6665904]"
248,1316288.0,1316289.0,"['Separator.East', 'Tank']","[0.4708116, 0.1747872]"
249,1323492.0,1323493.0,['Separator.West'],[0.3658535999999999]
250,1323493.0,1330691.0,"['Separator.East', 'Wellhead.East', 'Separator.West', 'Tank']","[0.351288, 0.3337236, 0.3658535999999999, 0.1769292]"
251,1330691.0,1330692.0,"['Separator.East', 'Separator.West', 'Wellhead.East']","[0.351288, 0.3658535999999999, 0.3337236]"
252,1341495.0,1341496.0,['Separator.East'],[0.6507396]
253,1341496.0,1355894.0,"['Tank', 'Separator.East']","[0.1760724, 0.6507396]"
254,1363096.0,1363097.0,['Tank'],[4.320414]
255,1363097.0,1373896.0,"['Wellhead.West', 'Tank']","[1.7560116000000006, 4.320414]"
256,1384699.0,1399098.0,"['Wellhead.East', 'Tank', 'Wellhead.West', 'Separator.West']","[0.3324384000000001, 0.0929628, 0.6588792000000001, 0.3637115999999999]"
257,1406301.0,1409900.0,"['Wellhead.East', 'Separator.East', 'Separator.West']","[0.5534928000000001, 0.550494, 0.5714855999999999]"
258,1417104.0,1420703.0,"['Separator.East', 'Wellhead.East', 'Separator.West']","[0.4356828, 0.4408236, 0.3872736]"
259,1431506.0,1449505.0,['Wellhead.West'],[3.3462324000000003]
260,1460308.0,1460309.0,['Wellhead.West'],[0.8645112]
261,1460309.0,1467006.0,"['Wellhead.West', 'Separator.East', 'Tank', 'Wellhead.East']","[0.8645112, 0.7351344000000002, 0.287028, 0.8071056]"
262,1467006.0,1467507.0,"['Separator.East', 'Wellhead.East', 'Wellhead.West', 'Tank']","[0.7381332000000002, 0.8109612, 0.865368, 0.28917]"
263,1467507.0,1467508.0,"['Separator.East', 'Wellhead.West', 'Tank']","[0.7381332000000002, 0.865368, 0.28917]"
264,1471111.0,1471112.0,"['Separator.East', 'Wellhead.West']","[0.3560004, 0.6588792000000001]"
265,1471112.0,1485510.0,"['Wellhead.East', 'Separator.East', 'Wellhead.West']","[0.3380076, 0.3560004, 0.6588792000000001]"
266,1492712.0,1492713.0,['Tank'],[0.184212]
267,1492713.0,1514312.0,"['Separator.East', 'Tank', 'Wellhead.West', 'Separator.West']","[0.3649968, 0.184212, 0.6550236, 0.3795624]"
268,1525115.0,1525116.0,"['Wellhead.West', 'Separator.West', 'Tank']","[1.7795736000000002, 0.826812, 2.900268]"
269,1525116.0,1539514.0,"['Separator.East', 'Wellhead.West', 'Separator.West', 'Tank']","[0.758268, 1.7795736000000002, 0.826812, 2.900268]"
270,1539514.0,1539515.0,['Wellhead.West'],[1.7795736000000002]
271,1546717.0,1546718.0,"['Wellhead.East', 'Separator.East']","[1.2419315999999998, 1.1254068000000002]"
272,1546718.0,1553401.0,"['Separator.East', 'Wellhead.East', 'Separator.West']","[1.1254068000000002, 1.2419315999999998, 1.7752896]"
273,1553401.0,1553916.0,"['Wellhead.East', 'Separator.West', 'Separator.East']","[1.2573540000000003, 1.7988516, 1.1382588]"
274,1568319.0,1579117.0,"['Separator.East', 'Wellhead.East', 'Separator.West']","[0.3654252, 0.3452904, 0.3123036]"
275,1579117.0,1579118.0,['Wellhead.East'],[0.3452904]
276,1586320.0,1586321.0,['Tank'],[0.1824984]
277,1586321.0,1589919.0,"['Wellhead.East', 'Separator.West', 'Tank']","[0.3461472, 0.3774204, 0.1824984]"
278,1589919.0,1589920.0,"['Separator.West', 'Tank']","[0.3774204, 0.1824984]"
279,1597123.0,1604322.0,['Separator.West'],[0.8503740000000002]
280,1607924.0,1622323.0,"['Separator.West', 'Separator.East', 'Tank']","[0.3589992000000001, 0.3440052, 0.2578968]"
281,1629526.0,1629527.0,"['Separator.West', 'Wellhead.West', 'Separator.East', 'Tank']","[0.3530015999999999, 0.6438852, 0.3375792, 0.17136]"
282,1629527.0,1639798.0,"['Wellhead.West', 'Wellhead.East', 'Separator.East', 'Separator.West', 'Tank']","[0.6438852, 0.3251556, 0.3375792, 0.3530015999999999, 0.17136]"
283,1639798.0,1640325.0,"['Separator.West', 'Tank', 'Wellhead.East', 'Separator.East', 'Wellhead.West']","[0.3564288, 0.1730736, 0.3285828, 0.3444336, 0.6451704]"
