,start_time_seconds,end_time_seconds,source,emission_rate,duration,num_active_sources,contains_na,prediction_correct,prediction
712,5808654.0,5834453.0,"['Separator.East', 'Separator.West']","[0.5523361200000001, 0.16711884]",25799.0,2,False,True,['Separator.East' 'Separator.West']
715,5873461.0,5891460.0,"['Separator.West', 'Tank']","[0.1375164, 0.0886788]",17999.0,2,False,False,['Separator.West' 'Wellhead.East']
716,5895064.0,5919662.0,"['Separator.West', 'Tank']","[1.1391156, 0.0912492]",24598.0,2,False,False,['Separator.East' 'Separator.West']
719,5959869.0,5976068.0,"['Wellhead.East', 'Separator.East']","[0.3864168, 0.5963328]",16199.0,2,False,True,['Separator.East' 'Wellhead.East']
744,6046202.0,6062404.0,"['Tank', 'Separator.West']","[0.1782144, 0.3024504]",16202.0,2,False,False,['Separator.East' 'Wellhead.West']
751,6179716.0,6183915.0,"['Wellhead.West', 'Tank']","[2.8767060000000004, 7.105014]",4199.0,2,False,True,['Tank' 'Wellhead.West']
753,6191119.0,6208218.0,"['Separator.East', 'Wellhead.East']","[1.7628660000000005, 2.480436]",17099.0,2,False,True,['Separator.East' 'Wellhead.East']
754,6219021.0,6233420.0,"['Tank', 'Separator.West']","[0.0912492, 0.4853772]",14399.0,2,False,False,['Separator.West' 'Wellhead.East']
756,6240624.0,6269123.0,"['Tank', 'Separator.West']","[0.0955332, 1.1686751999999998]",28499.0,2,False,False,['Separator.East' 'Separator.West']
760,6308729.0,6319827.0,"['Separator.West', 'Tank']","[0.582624, 0.1807848]",11098.0,2,False,True,['Separator.West' 'Tank']
767,6395138.0,6406237.0,"['Separator.East', 'Tank']","[0.6460272, 0.0951048]",11099.0,2,False,True,['Separator.East' 'Tank']
768,6413440.0,6441339.0,"['Separator.East', 'Separator.West']","[0.6563088000000001, 0.357714]",27899.0,2,False,True,['Separator.East' 'Separator.West']
769,6452142.0,6474641.0,"['Tank', 'Separator.East']","[0.2698920000000001, 0.8109612]",22499.0,2,False,True,['Separator.East' 'Tank']
770,6485445.0,6496244.0,"['Separator.West', 'Separator.East']","[0.3260124000000001, 0.282744]",10799.0,2,False,True,['Separator.East' 'Separator.West']
773,6542751.0,6557450.0,"['Wellhead.East', 'Wellhead.West']","[0.6246072, 0.8692236]",14699.0,2,False,True,['Wellhead.East' 'Wellhead.West']
775,6564654.0,6582653.0,"['Wellhead.East', 'Tank']","[0.9386244, 0.1700748]",17999.0,2,False,False,['Wellhead.East' 'Wellhead.West']
776,6586256.0,6614335.0,"['Tank', 'Wellhead.East']","[0.0938195999999999, 0.9643284]",28079.0,2,False,False,['Separator.East' 'Wellhead.East']
779,6651004.0,6667200.0,"['Separator.East', 'Tank']","[0.7591248, 0.0882503999999999]",16196.0,2,False,False,['Separator.East' 'Separator.West']
780,6672602.0,6695281.0,"['Separator.West', 'Wellhead.East']","[0.3440052, 0.4074083999999999]",22679.0,2,False,True,['Separator.West' 'Wellhead.East']
785,6726966.0,6734164.0,"['Separator.West', 'Separator.East']","[1.0825668000000002, 1.4154336]",7198.0,2,False,False,['Separator.West' 'Wellhead.East']
787,6759008.0,6787447.0,"['Separator.West', 'Wellhead.East']","[0.29988, 0.4056947999999999]",28439.0,2,False,True,['Separator.West' 'Wellhead.East']
790,6804012.0,6807719.0,"['Wellhead.West', 'Tank']","[4.6489968, 3.2155704000000003]",3707.0,2,False,True,['Tank' 'Wellhead.West']
791,6814922.0,6822120.0,"['Wellhead.East', 'Separator.East']","[0.8919288000000002, 1.891386]",7198.0,2,False,True,['Separator.East' 'Wellhead.East']
800,6899407.0,6905525.0,"['Wellhead.East', 'Separator.West']","[0.9009252, 1.5400980000000002]",6118.0,2,False,True,['Separator.West' 'Wellhead.East']
806,6968172.0,6975370.0,"['Tank', 'Wellhead.West']","[3.2729760000000003, 1.912806]",7198.0,2,False,False,['Wellhead.East' 'Wellhead.West']
807,6982573.0,6988332.0,"['Wellhead.West', 'Tank']","[2.8445760000000004, 2.6715024000000005]",5759.0,2,False,True,['Tank' 'Wellhead.West']
815,7103543.0,7132342.0,"['Wellhead.West', 'Tank']","[0.7060031999999999, 0.0938195999999999]",28799.0,2,False,True,['Tank' 'Wellhead.West']
817,7146745.0,7168343.0,"['Separator.West', 'Wellhead.East']","[0.5522076, 0.9150624]",21598.0,2,False,True,['Separator.West' 'Wellhead.East']
